,Rates collection,Percentage of accumulated deficit from income,Average per capita expenditure in NIS,Education,Welfare,Total income from the government,Total expenses,Total income,Surplus or deficit per year,Development Work,immigration_balance,Socioeconomic cluster from 1 to 10 lowest 1,Percentage of eligible for a Bagrut,Gini Index of Inequality Index 0 Full Equality,Compactness Cluster from 1 to 10 1 highest
0,37924.0,0.3,5110.95,148879.0,29281.0,186692.0,270446.0,255189.0,15257.0,14677.0,12.0,2,53.3,0.3786,7
1,37797.0,0.29,5639.51,150616.0,30160.0,201961.0,276005.0,276005.0,14344.0,16301.0,-41.0,2,52.9,0.3827,7
2,40414.0,0.3,5531.09,168718.0,33760.0,215495.0,309154.0,294964.0,14128.0,2426.0,-132.0,2,60.0,0.3846,7
3,44141.0,0.22,5683.24,166463.0,35452.0,234906.0,320440.0,320440.0,-13.0,680.0,-106.0,2,57.757166947723434,0.40003359505636205,8
4,31813.0,0.12,5146.44,38983.0,19347.0,90940.0,146720.0,144547.0,2173.0,5658.0,-213.0,3,47.1,0.3839,3
5,32551.0,0.13,5515.08,45324.0,22198.0,95088.0,159202.0,150844.0,6980.0,6075.0,355.0,3,51.7,0.3836,3
6,36735.0,0.15,5697.95,51134.0,22501.0,109825.0,173620.0,169170.0,5059.0,8878.0,422.0,3,46.2,0.3799,3
7,38502.0,0.11,6359.26,65789.0,24480.0,136417.0,201920.0,201920.0,118.0,14711.0,570.0,3,45.19480519480519,0.39357793440534994,3
8,107479.0,0.11,6692.31,73590.0,28276.0,87206.0,247776.0,244408.0,3368.0,19561.0,-351.0,5,59.9,0.3988,3
9,112143.0,0.12,6619.23,83832.0,32094.0,84526.0,257031.0,257031.0,2690.0,4190.0,-351.0,5,64.7,0.3948,3
10,118766.0,0.12,8200.5,90593.0,34255.0,115782.0,304034.0,304034.0,8591.0,6196.0,-428.0,6,64.7,0.392,3
11,118512.0,0.14,8011.53,100018.0,34775.0,106671.0,291808.0,291808.0,3563.0,44894.0,-456.0,6,70.74148296593187,0.4026414372699363,3
12,43600.0,0.31,7121.42,39532.0,13722.0,57768.0,139765.0,139758.0,7.0,7389.0,48.0,5,65.6,0.3626,2
13,42876.0,0.2,7664.7,44789.0,14491.0,65913.0,154856.0,154856.0,3063.0,15755.0,81.0,5,70.1,0.3607,2
14,42086.0,0.16,8173.2,48034.0,16046.0,65348.0,162860.0,157860.0,4494.0,22889.0,-90.0,5,74.9,0.3633,2
15,41030.0,0.23,8098.81,50504.0,16451.0,65680.0,166306.0,166306.0,10024.0,20310.0,150.0,5,74.78260869565217,0.3795645151425576,3
16,265973.0,0.17,8016.75,149011.0,26150.0,163473.0,516784.0,503264.0,13520.0,4368.0,-208.0,6,63.0,0.3695,8
17,268006.0,0.17,8448.69,144724.0,24553.0,136176.0,482500.0,482500.0,6335.0,5405.0,-614.0,6,66.7,0.3678,8
18,291390.0,0.16,8883.81,156412.0,29387.0,148900.0,503500.0,503500.0,7922.0,80.0,-473.0,6,67.7,0.3662,8
19,294371.0,0.19,8785.58,162115.0,32280.0,162581.0,525000.0,525000.0,16218.0,377.0,-186.0,6,69.26470588235294,0.3857546699115081,9
20,36403.0,0.09,3644.85,62839.0,18539.0,97355.0,157691.0,157708.0,-17.0,11561.0,-262.0,2,35.9,0.392,3
21,36882.0,0.08,3889.54,69948.0,21000.0,108042.0,174904.0,174904.0,-8.0,15261.0,-483.0,2,36.2,0.391,3
22,35704.0,0.07,4236.03,84884.0,24199.0,127473.0,203681.0,203681.0,-266.0,4485.0,-452.0,2,28.5,0.3895,3
23,43387.0,0.07,4499.72,86186.0,25275.0,131343.0,206819.0,206819.0,-42.0,53420.0,-467.0,2,24.676724137931032,0.4065642794559009,2
24,36120.0,0.04,5588.42,32603.0,10486.0,49710.0,107633.0,107769.0,-136.0,7286.0,49.0,6,72.0,0.3748,8
25,40398.0,0.03,6128.58,37330.0,12125.0,59515.0,122004.0,122004.0,-112.0,8006.0,142.0,6,76.7,0.3756,8
26,43983.0,0.03,6219.37,41018.0,12427.0,57594.0,125879.0,125879.0,-938.0,7892.0,126.0,6,77.6,0.3756,8
27,45469.0,0.02,6432.37,41889.0,13471.0,56952.0,126462.0,126462.0,-17.0,8942.0,-115.0,6,75.86206896551724,0.392075667154992,9
28,675629.0,0.02044159168983613,5637.59,456979.0,150753.0,428051.0,1391565.0,1392916.0,1351.0,54372.0,-2502.0,5,56.7,0.4204,7
29,705029.0,0.0196,5982.21,506810.0,160114.0,460482.0,1530866.0,1530866.0,1069.0,49841.0,-2705.0,5,56.9,0.4183,7
30,743787.0,0.023121211101381673,6267.29,549380.0,184359.0,518702.0,1637278.0,1637278.0,3133.0,80801.0,-3003.0,5,57.0,0.4169,7
31,752178.0,0.02264618824148205,6484.81,579952.0,200684.0,554391.0,1725788.0,1725788.0,702.0,79911.0,-2826.0,5,57.40846681922197,0.4289676748459734,8
32,352951.0,0.01,4876.55,174146.0,85768.0,194495.0,694040.0,696052.0,-2012.0,74630.0,1833.0,5,71.7,0.415,7
33,382040.0,0.01,4964.52,299175.0,94749.0,305476.0,834933.0,834933.0,-304.0,76224.0,1359.0,5,73.1,0.4136,7
34,399601.0,0.01,5751.62,221436.0,99946.0,254201.0,815836.0,815836.0,-7.0,69903.0,1095.0,5,73.0,0.4117,7
35,416848.0,0.01,5753.38,276373.0,112007.0,300240.0,896931.0,896931.0,-5.0,73653.0,555.0,5,69.52155936207916,0.42380913344825033,7
36,26824.0,0.08,4922.58,57534.0,12466.0,87729.0,137975.0,138067.0,-92.0,722.0,4.0,3,56.9,0.3608,3
37,30159.0,0.07,5208.54,65256.0,13368.0,93893.0,148321.0,148321.0,-170.0,846.0,20.0,3,57.7,0.3657,3
38,30135.0,0.06,5725.81,75087.0,14701.0,110111.0,164335.0,164335.0,-529.0,959.0,1.0,3,67.6,0.3685,3
39,31116.0,0.06,5565.17,79117.0,15786.0,113479.0,166855.0,166855.0,257.0,1890.0,3.0,3,65.75809199318569,0.37847325513188423,3
40,686887.0,0.11,6751.47,412912.0,153784.0,440956.0,1452647.0,1456632.0,-3985.0,137766.0,-759.0,5,71.2,0.4307,7
41,706528.0,0.11,6824.06,446477.0,161218.0,462770.0,1512204.0,1512204.0,-1910.0,164779.0,-1363.0,5,69.6,0.4283,7
42,733126.68,0.1,7454.15,480848.0,160986.0,496451.0,1655584.0,1655584.0,-1786.0,192685.13,-1358.0,5,73.9,0.4303,7
43,700619.0,0.09,7863.7,531643.0,175154.0,611917.0,1749240.0,1749240.0,-2246.0,138039.0,-1811.0,5,76.5576323987539,0.4443289169458615,8
44,33014.0,0.37,9859.04,31733.0,18621.0,115014.0,190378.0,179669.0,10709.0,2551.0,-95.0,4,56.0,0.3667,5
45,35345.0,0.26,8426.98,29363.0,18826.0,63701.0,133618.0,129857.0,-2032.0,1852.0,-97.0,4,49.3,0.3651,5
46,37126.0,0.14,9153.55,29852.46,19084.28,65273.0,135189.69,131495.0,3603.93,435.14,-150.0,5,66.8,0.3635,5
47,37436.0,0.12,8130.17,38235.0,22609.0,76102.0,151316.0,151316.0,-260.0,123.0,188.0,5,70.46979865771812,0.38157531776703635,5
48,142391.0,0.14,3612.21,132080.0,56629.0,176122.0,398774.0,386668.0,12106.0,28975.0,1917.0,2,34.0,0.4377,8
49,159923.0,0.11,3829.85,123102.0,54861.0,171691.0,396432.0,396432.0,-3478.0,36169.0,1788.0,2,34.3,0.4329,8
50,164542.0,0.1,4190.63,160937.0,62302.0,223385.0,469736.0,469736.0,8415.0,52105.0,393.0,2,37.2,0.4336,8
51,173245.0,0.11,4218.46,180036.0,74798.0,257668.0,518379.0,518379.0,5746.0,61966.0,555.0,2,37.729627885068304,0.4431222535539888,9
52,21778.0,0.19,3183.78,43380.0,22319.0,98306.01,164824.27,167457.37,-2633.09,11124.0,244.0,1,10.5,0.3774,6
53,24810.0,0.1,3487.1,50036.0,26906.0,103475.0,177050.0,177050.0,-95.95,8810.0,494.0,1,10.2,0.3767,6
54,28215.0,0.09,3800.65,66593.0,29111.0,127661.0,204264.0,204264.0,-48.0,12333.0,706.0,1,9.8,0.3781,6
55,31381.0,0.07,4045.82,71489.0,36326.0,145494.0,226192.0,226192.0,-99.0,9090.0,-161.0,1,11.440329218106996,0.38797651671410804,6
56,311724.0,0.09,5551.12,371833.0,133664.0,508501.0,1059037.0,1057237.0,1800.0,37231.0,-1741.0,2,6.4,0.406,2
57,322594.0,0.09,5690.75,402093.0,143419.0,527498.0,1101014.0,1101014.0,1826.0,52052.0,-1569.0,2,7.0,0.4035,2
58,339036.0,0.08,6073.99,442056.0,154891.0,581239.0,1185381.0,1185381.0,1490.0,35418.0,-2158.0,2,6.4,0.4043,2
59,360216.0,0.07,6639.26,533172.0,165847.0,680150.0,1333154.0,1333154.0,-75.0,63957.0,-3111.0,2,5.990068280571074,0.4088014496490876,2
60,294652.0,0.13,4873.62,197432.0,102054.0,296527.0,773667.0,766054.0,7613.0,75477.0,-1675.0,5,72.1,0.3661,3
61,302213.0,0.11,5064.07,210348.0,87066.0,296517.0,781617.0,781617.0,-839.0,41560.0,-1971.0,5,70.8,0.3654,3
62,314938.0,0.11,5336.65,224446.0,111488.0,344453.0,840217.0,840217.0,-126.0,119646.0,-2113.0,5,74.3,0.3649,3
63,328741.0,0.11,5524.91,243312.0,115840.0,376627.0,881542.0,881542.0,4836.0,105060.0,-2169.0,5,74.52276064610867,0.37974765087446405,2
64,62315.0,0.08,5390.59,41912.0,9335.0,36297.0,138274.0,140850.0,2576.0,71459.0,-44.0,8,86.9,0.4488,3
65,64805.0,0.07,5552.69,47284.0,9099.0,34255.0,143301.0,143301.0,1428.0,138786.0,-273.0,8,86.3,0.4524,3
66,69256.0,0.07,5843.01,51223.0,10200.0,34021.0,150856.0,150856.0,914.0,116227.0,-269.0,8,87.8,0.4579,3
67,71459.0,0.05500000000000001,5988.66,55169.0,10457.0,37494.0,159238.0,159238.0,1411.0,144103.0,-127.0,8,91.26760563380282,0.46904413437047054,3
68,180616.0,0.27,6661.68,101255.0,22319.0,130301.0,399874.0,396658.0,3216.0,139676.0,-127.0,8,88.8,0.4382,2
69,184441.0,0.29,5999.72,105449.0,22145.0,81508.0,358607.0,358607.0,-73.0,105397.0,237.0,8,89.3,0.4375,2
70,195088.0,0.27,6307.6,113163.0,23175.0,84370.0,375267.0,375267.0,625.0,184036.0,177.0,8,91.6,0.4377,2
71,208725.0,0.26,6570.53,126545.0,25463.0,96262.0,408695.0,408695.0,57.0,212886.0,37.0,8,91.34438305709024,0.4497192627681126,2
72,88002.0,0.1,5973.73,56363.0,29955.0,111724.0,228304.0,230314.0,-2010.0,10728.0,-376.0,4,72.0,0.4285,4
73,108423.0,0.04,6379.22,62182.0,30041.0,112781.0,242471.0,242471.0,-14318.0,16581.0,-266.0,4,61.5,0.4157,4
74,84007.0,0.03,7153.37,69707.0,34236.0,152175.0,270390.0,270390.0,-932.0,14899.0,-269.0,4,68.5,0.4258,4
75,86239.0,0.02,8098.69,76636.0,37690.0,163954.0,300862.0,300862.0,-1013.0,12540.0,150.0,4,74.74541751527495,0.43642828393865485,6
76,191871.0,0.06,6574.78,137268.0,18895.0,98654.0,382271.0,384237.0,-1966.0,28582.0,1870.0,8,87.0,0.4798,7
